City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti International Resort
4,Chuy,UY,76.15,overcast clouds,-33.6971,-53.4616,Alerces
12,Kupang,ID,79.14,overcast clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
21,Port Blair,IN,80.64,mist,11.6667,92.75,Andaman Ocean Breeze
33,Atar,MR,70.11,clear sky,20.5169,-13.0499,فندق سكليل
38,Faanui,PF,80.06,moderate rain,-16.4833,-151.75,Oa Oa Lodge
41,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Page 63 hostel
43,Kapaa,US,73.72,scattered clouds,22.0752,-159.319,Pono Kai Resort
54,Parrita,CR,87.26,few clouds,9.5201,-84.3225,Hotel Paraíso Carlisa
55,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
58,Maragogi,BR,81.12,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
60,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
64,Touros,BR,81.12,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
65,Axim,GH,80.19,light rain,4.8699,-2.2405,Axim Beach Hotel
67,Inhambane,MZ,73.38,few clouds,-23.865,35.3833,Hotel de Inhambane
75,Sinnamary,GF,78.01,overcast clouds,5.3833,-52.95,Hôtel du fleuve
80,Sao Filipe,CV,76.55,few clouds,14.8961,-24.4956,Bela Vista
92,Dunmore Town,BS,77.54,overcast clouds,25.5,-76.65,The Landing Hotel & Restaurant
96,Puerto Ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
98,Hambantota,LK,78.01,broken clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
101,Mar Del Plata,AR,73.09,thunderstorm with rain,-38.0023,-57.5575,Nuevo Ostende
102,Cabo San Lucas,MX,82.62,clear sky,22.8909,-109.9124,Comfort Rooms
107,Gizo,SB,80.15,overcast clouds,-8.103,156.8419,Gizo Hotel
111,Karratha,AU,80.44,broken clouds,-20.7377,116.8463,Karratha International Hotel
112,Labuan,MY,77.36,scattered clouds,5.2767,115.2417,Labuan Avenue Hotel
117,Lamu,KE,80.82,overcast clouds,-2.2717,40.902,Hotel Archipelago villa bed and breakfast
119,Isangel,VU,81.36,overcast clouds,-19.55,169.2667,Tanna Lodge
125,Hithadhoo,MV,81.66,broken clouds,-0.6,73.0833,Pebbles Inn
126,Saint-Philippe,RE,80.19,overcast clouds,-21.3585,55.7679,Le Baril
136,Lorengau,PG,81.82,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
141,Mahebourg,MU,78.26,scattered clouds,-20.4081,57.7,Grand Bel Air
146,Samarinda,ID,73.22,overcast clouds,-0.5,117.15,Hotel Bumi Senyiur
151,Praia,CV,77.54,few clouds,14.9215,-23.5087,Casa Sodadi
158,Matadi,CD,76.17,overcast clouds,-5.8167,13.45,Hôtel Métroplole
160,Santarem,BR,84.33,broken clouds,-2.4431,-54.7083,Prático Hotel
163,Omboue,GA,77.72,broken clouds,-1.5746,9.2618,Georges Faustin Aurat
165,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Central Hôtel
166,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
168,Grand Gaube,MU,78.39,clear sky,-20.0064,57.6608,Coco Villa
172,Namatanai,PG,79.36,broken clouds,-3.6667,152.4333,Namatanai Hotel
175,Puerto Escondido,MX,85.03,scattered clouds,15.85,-97.0667,Hotel Barlovento
176,Atuona,PF,77.43,light rain,-9.8,-139.0333,Pearl Resort
179,Moerai,PF,75.97,broken clouds,-22.4333,-151.3333,Manotel Rurutu
181,Natal,BR,84.85,broken clouds,-5.795,-35.2094,Natal Palace Hotel
188,Santa Rosa,PH,77.09,overcast clouds,14.3122,121.1114,JARS RESORT
189,Manta,EC,83.98,few clouds,-0.95,-80.7333,La Gaviota
202,Pimenta Bueno,BR,82.67,broken clouds,-11.6725,-61.1936,Cristalina palace hotel
204,Vao,NC,79.52,overcast clouds,-22.6667,167.4833,Nataiwatch
205,Pisco,PE,74.01,clear sky,-13.7,-76.2167,La Portada
208,Sao Felix Do Xingu,BR,80.53,broken clouds,-6.6447,-51.995,Hotel Terraço
211,Maun,BW,76.96,clear sky,-19.9833,23.4167,Center Lodge Conference Center
216,Cidreira,BR,73.49,clear sky,-30.1811,-50.2056,Hotel Castelo
220,Monrovia,LR,80.37,clear sky,6.3005,-10.7969,Bella Casa Hotel
222,Puerto Leguizamo,CO,85.44,overcast clouds,-0.1934,-74.7819,Hotel Girasoles
225,Masindi,UG,71.22,overcast clouds,1.6744,31.715,Masindi Hotel
227,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,The Sanctuary Hotel and Spa
228,Bathsheba,BB,83.01,light rain,13.2167,-59.5167,Atlantis Hotel
229,Zorritos,PE,82.69,overcast clouds,-3.6805,-80.6782,Hostal Zorritos Plaza
233,Hilo,US,83.28,few clouds,19.7297,-155.09,Dolphin Bay Hotel
239,Tabou,CI,79.99,few clouds,4.423,-7.3528,hôtel le rochet
244,Kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
251,Tucuman,AR,84.2,dust,-26.8241,-65.2226,Suites San Luis
255,Richards Bay,ZA,73.0,clear sky,-28.783,32.0377,Protea Hotel
257,Hualmay,PE,73.94,few clouds,-11.0964,-77.6139,Hotel Mi Choacan
259,Acapulco,MX,84.02,few clouds,16.8634,-99.8901,Hotel del Valle
260,Huarmey,PE,74.98,clear sky,-10.0681,-78.1522,Hostal Santa Rosa
266,Antofagasta,CL,70.88,clear sky,-23.65,-70.4,Hotel Colón
268,Doha,QA,75.09,clear sky,25.2867,51.5333,Al MIrqab
271,Valera,VE,84.18,few clouds,9.3178,-70.6036,Valera
272,Lobito,AO,75.52,overcast clouds,-12.3481,13.5456,HOTEL CHIK CHIK LOBITO I
273,Noumea,NC,80.01,overcast clouds,-22.2763,166.4572,Hotel Gondwana
279,Tomatlan,MX,87.39,overcast clouds,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
285,Bermejo,AR,75.11,broken clouds,-32.8833,-68.8,Muras Aparte Hotel
289,Tutoia,BR,73.49,overcast clouds,-2.7619,-42.2744,Pousada San Vicente
294,Abu Dhabi,AE,71.71,clear sky,24.4667,54.3667,Marriott Downtown Abu-Dhabi
298,Itarema,BR,79.43,overcast clouds,-2.9248,-39.9167,Pousada Oásis
302,Padang,ID,77.4,overcast clouds,-0.9492,100.3543,losmen Surya
307,Awash,ET,75.45,few clouds,8.9833,40.1667,Kediga Hotel
308,San Cristobal,VE,86.18,clear sky,7.7669,-72.225,Terra Sur
314,Saint-Leu,RE,79.66,broken clouds,-21.15,55.2833,Iloha Seaview Hôtel
319,Sur,OM,70.56,broken clouds,22.5667,59.5289,Sur Hotel
320,Cap Malheureux,MU,78.48,clear sky,-19.9842,57.6142,Cape Garden
321,Chemin Grenier,MU,76.59,few clouds,-20.4872,57.4656,Hotel Shanti Maurice
322,Jacareacanga,BR,84.63,broken clouds,-6.2222,-57.7528,Hotel São Cristovão
327,Caravelas,BR,72.25,light rain,-17.7125,-39.2481,Pousada dos Navegantes
329,Gunjur,GM,78.87,clear sky,13.2019,-16.7339,Footsteps Eco Lodge
330,Tual,ID,83.44,overcast clouds,-5.6667,132.75,Suita
333,Vanimo,PG,77.18,overcast clouds,-2.6741,141.3028,CBC Guesthouse
347,Santa Vitoria Do Palmar,BR,76.42,overcast clouds,-33.5189,-53.3681,Hotel Brasil
351,Sassandra,CI,79.29,few clouds,4.95,-6.0833,Hotel Le Pollet
353,Lazaro Cardenas,MX,83.52,overcast clouds,17.9583,-102.2,Hotel Sol del Pacífico
355,Cam Ranh,VN,71.56,few clouds,11.9214,109.1591,Khách sạn Thái Bình
358,Itaituba,BR,87.96,scattered clouds,-4.2761,-55.9836,TG Hotel
359,Cove,BJ,77.94,clear sky,7.221,2.3402,TG Hôtel Covè
368,Sabang,ID,80.69,broken clouds,5.8933,95.3214,Sabang Hill
369,Anloga,GH,81.14,scattered clouds,5.7947,0.8973,Hotel de White House
370,Ayorou,NE,70.12,overcast clouds,14.7308,0.9174,Hotel Aminokal
371,Varadero,CU,81.36,overcast clouds,23.1536,-81.2514,Hotel Cuatro Palmas
372,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue
374,Bengkulu,ID,75.65,overcast clouds,-3.8004,102.2655,Dena Hotel
376,Kuah,MY,78.78,few clouds,6.3265,99.8432,Langkawi Budget Inn
377,Angoche,MZ,77.0,scattered clouds,-16.2325,39.9086,Hotel Quirimbas
384,Tete,MZ,77.14,broken clouds,-16.1564,33.5867,Zambezi Hotel
390,Atambua,ID,74.08,overcast clouds,-9.1061,124.8925,Hotel Matahari
392,Sarh,TD,75.11,clear sky,9.1429,18.3923,فندق سفاري
397,Camopi,GF,76.17,scattered clouds,3.1655,-52.3158,Chez Lucia
400,Kendari,ID,77.99,overcast clouds,-3.945,122.4989,Hotel Agung
401,Rio Grande,BR,87.91,broken clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
403,Diapaga,BF,72.23,broken clouds,12.0708,1.7889,Le Gacilien
422,Fare,PF,80.76,broken clouds,-16.7,-151.0167,hôtel Maitai Lapita Village
424,Pemangkat,ID,77.59,overcast clouds,1.1667,108.9667,Hotel Kelapa Gading
436,Berbera,SO,76.21,few clouds,10.4396,45.0143,Al Madina Hotel
439,Anori,BR,83.39,overcast clouds,-3.7728,-61.6442,NOVO HOTEL
440,San Juan,AR,73.81,scattered clouds,-31.5375,-68.5364,Hotel San Francisco
442,Bani,DO,80.85,clear sky,18.2833,-70.3333,HOTEL GLAMOURS
443,Lhokseumawe,ID,76.62,overcast clouds,5.1801,97.1507,Vina Vira Hotel
445,Diego De Almagro,CL,79.7,clear sky,-26.3667,-70.05,Residencial Hambyll
458,Sambava,MG,75.63,heavy intensity rain,-14.2667,50.1667,Royal Sava Hôtel
476,Kalmunai,LK,75.24,few clouds,7.4167,81.8167,Saji new food
479,Santa Isabel Do Rio Negro,BR,84.85,overcast clouds,-0.4139,-65.0192,Hotel Maikon
480,Hervey Bay,AU,73.17,overcast clouds,-25.2986,152.8535,Hervey Bay Hotel
487,Feijo,BR,84.76,broken clouds,-8.1642,-70.3536,Hotel JOAFRAN
490,Salalah,OM,73.09,overcast clouds,17.0151,54.0924,Muscat International Hotel
496,Rocha,UY,82.17,scattered clouds,-34.4833,-54.3333,Hotel Municipal
497,Alta Floresta,BR,79.12,overcast clouds,-9.8756,-56.0861,Villas Hotel
498,Buchanan,LR,79.29,clear sky,5.8808,-10.0467,Phillipmena's Guesthouse
499,Sao Gabriel Da Cachoeira,BR,85.8,scattered clouds,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
504,Kathu,TH,75.02,broken clouds,7.9178,98.3332,Tinidee Hotel
509,Makakilo City,US,78.01,few clouds,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
519,Ko Samui,TH,79.59,overcast clouds,9.5357,99.9357,Nathon Residence
527,Iquitos,PE,87.84,scattered clouds,-3.7481,-73.2472,Marfil del Amazonas
530,Meulaboh,ID,76.77,overcast clouds,4.1363,96.1285,Hotel Meuligou
532,Vila Do Maio,CV,77.79,clear sky,15.1333,-23.2167,Residencial Jardins De Maio
534,Chimbote,PE,74.16,few clouds,-9.0853,-78.5783,Hostal Diamante Chimbote
538,Paraiso,CR,75.88,scattered clouds,9.8383,-83.8656,Cabinas
550,Itacare,BR,77.4,broken clouds,-14.2775,-38.9967,Pousada Raisis
553,Palu,ID,75.58,overcast clouds,-0.8917,119.8707,Ujung Pandang Hotel
556,Mahajanga,MG,82.42,light rain,-15.7167,46.3167,Vahiny Hotel
557,Barinas,VE,89.64,clear sky,8.6226,-70.2075,Hotel Comercio
562,Mount Isa,AU,74.97,broken clouds,-20.7333,139.5,Ibis Styles
570,Iquique,CL,73.44,clear sky,-20.2208,-70.1431,Hostal Vivar
572,Domoni,KM,79.32,overcast clouds,-12.2569,44.5319,Hotel Djadid
580,Porto Novo,BJ,82.22,few clouds,6.4965,2.6036,Hôtel 6500 CFA
581,Nueva Guinea,NI,80.98,scattered clouds,11.6876,-84.4562,Oasis
