City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,66.88,82,40,4.61,scattered clouds
1,Ponta Do Sol,PT,32.6667,-17.1,67.01,83,2,5.35,clear sky
2,Vaini,TO,-21.2,-175.2,78.96,89,40,8.05,scattered clouds
3,Biskamzha,RU,53.4497,89.5272,-15.32,100,85,0.96,overcast clouds
4,Chuy,UY,-33.6971,-53.4616,76.15,61,100,15.55,overcast clouds
5,Bonaventure,CA,48.0457,-65.4926,30.78,80,100,14.97,snow
6,Busselton,AU,-33.65,115.3333,55.74,75,4,8.63,clear sky
7,Ushuaia,AR,-54.8,-68.3,51.46,50,40,28.77,scattered clouds
8,Turka,UA,49.1541,23.0297,37.8,98,100,6.42,overcast clouds
9,Constitucion,CL,-35.3333,-72.4167,66.61,52,0,22.41,clear sky
10,Kirakira,SB,-10.4544,161.9205,79.36,89,100,9.75,overcast clouds
11,Skibbereen,IE,51.55,-9.2667,49.1,85,8,20.22,clear sky
12,Kupang,ID,-10.1667,123.5833,79.14,85,100,4.61,overcast clouds
13,Port Elizabeth,ZA,-33.918,25.5701,67.1,92,0,6.91,clear sky
14,Barrow,US,71.2906,-156.7887,3.22,85,100,3.44,overcast clouds
15,Abyek,IR,36.0667,50.55,38.86,53,100,7.78,overcast clouds
16,Bluff,NZ,-46.6,168.3333,54.5,78,100,1.52,overcast clouds
17,Aykhal,RU,66.0,111.5,-3.87,99,100,5.73,overcast clouds
18,Dubbo,AU,-32.25,148.6167,62.73,94,40,0.0,scattered clouds
19,Laguna,US,38.421,-121.4238,57.18,85,75,3.44,haze
20,Methven,NZ,-43.6333,171.65,59.92,79,100,0.65,overcast clouds
21,Port Blair,IN,11.6667,92.75,80.64,78,40,5.75,mist
22,Kollo,NE,13.3043,2.339,77.43,20,31,9.13,scattered clouds
23,Thompson,CA,55.7435,-97.8558,-12.84,70,0,10.36,clear sky
24,Carnarvon,AU,-24.8667,113.6333,78.17,72,2,9.55,clear sky
25,Puri,IN,19.8,85.85,61.32,63,92,6.67,overcast clouds
