City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nikolskoye,RU,2022-12-18 19:29:46,59.7035,30.7861,24.8,95,100,7.76
1,Niimi,JP,2022-12-18 19:29:47,34.9833,133.4667,27.09,88,70,10.4
2,San Quintin,MX,2022-12-18 19:29:47,30.4833,-115.95,62.31,54,71,7.2
3,Avarua,CK,2022-12-18 19:29:48,-21.2078,-159.775,80.65,89,20,9.22
4,Zhezkazgan,KZ,2022-12-18 19:29:49,47.8043,67.7144,10.81,90,15,4.97
5,Thompson,CA,2022-12-18 19:29:46,55.7435,-97.8558,-11.04,70,100,8.05
6,Georgetown,MY,2022-12-18 19:29:50,5.4112,100.3354,78.73,85,40,9.22
7,Barrow,US,2022-12-18 19:29:50,71.2906,-156.7887,-9.38,77,75,10.36
8,Port Hardy,CA,2022-12-18 19:29:51,50.6996,-127.4199,26.78,68,75,9.22
9,Hermanus,ZA,2022-12-18 19:29:52,-34.4187,19.2345,67.8,76,100,12.95
10,Bluff,NZ,2022-12-18 19:29:53,-46.6,168.3333,51.66,79,40,6.29
11,Kavieng,PG,2022-12-18 19:29:53,-2.5744,150.7967,80.31,77,100,2.73
12,Iqaluit,CA,2022-12-18 19:25:06,63.7506,-68.5145,26.33,93,100,17.27
13,Hithadhoo,MV,2022-12-18 19:29:54,-0.6,73.0833,81.43,71,98,7.54
14,Victoria,HK,2022-12-18 19:28:12,22.2855,114.1577,55.26,41,41,5.99
15,Sao Filipe,CV,2022-12-18 19:29:55,14.8961,-24.4956,77.29,69,17,6.22
16,Rikitea,PF,2022-12-18 19:29:56,-23.1203,-134.9692,76.57,80,100,13.22
17,Dauin,PH,2022-12-18 19:29:56,9.1914,123.2654,77.36,88,100,14.09
18,Hobart,AU,2022-12-18 19:26:21,-42.8794,147.3294,49.05,90,20,8.05
19,Qaanaaq,GL,2022-12-18 19:29:57,77.484,-69.3632,18.59,88,100,9.37
20,Tutoia,BR,2022-12-18 19:29:58,-2.7619,-42.2744,83.46,70,21,13.56
21,Atuona,PF,2022-12-18 19:29:59,-9.8,-139.0333,76.68,82,91,20.11
22,Mayahi,NE,2022-12-18 19:29:59,13.9553,7.6712,74.35,19,100,9.6
23,Provideniya,RU,2022-12-18 19:30:00,64.3833,-173.3,20.89,78,88,16.89
24,Ushuaia,AR,2022-12-18 19:30:01,-54.8,-68.3,51.46,54,75,9.22
25,Ponta Do Sol,PT,2022-12-18 19:30:03,32.6667,-17.1,69.01,84,100,9.46
26,Beian,NO,2022-12-18 19:30:05,63.6559,9.5683,38.01,80,75,26.46
27,Marsh Harbour,BS,2022-12-18 19:30:07,26.5412,-77.0636,75.2,77,13,12.24
28,Punta Arenas,CL,2022-12-18 19:30:10,-53.15,-70.9167,60.91,36,20,20.71
